Start,End,Open,High,Low,Close,Volume,Market Cap
2022-05-12,2022-05-13,50.5335,53.8599,38.2896,44.7119,7148815475.555555,15167690830.443258
2022-05-11,2022-05-12,66.8901,68.2703,43.68724693656727,49.9957,5150712517.12892,19730159484.31081
2022-05-10,2022-05-11,62.38418223579098,73.9172,60.7944209720067,67.0372,6169869623.111111,23053383313.044434
2022-05-09,2022-05-10,75.50131167761506,77.0683,63.3084,63.95951297192974,2918280318.197183,24050050048.15394
2022-05-08,2022-05-09,78.9406,79.26215595345955,74.3392,74.9771435330822,2157243911.5555553,25942694094.63895
2022-05-07,2022-05-08,81.9125,82.26695227083455,77.624,79.1325,2017830492.4444444,27166835562.302948
2022-05-06,2022-05-07,84.5739,84.5739,80.50878350965048,81.9598,2946383160,27612495108.51632
2022-05-05,2022-05-06,92.6471,94.82982774186311,81.8704130225609,84.6366,2533214325.7421603,29955012806.49817
2022-05-04,2022-05-05,85.91287250199359,92.7871641273774,85.6426877602972,92.68864172291822,1682872728.2285714,29433778611.916977
2022-05-03,2022-05-04,87.53082796719434,88.71873132011339,84.98599630575832,85.92044164888463,1694629058.2222223,29177938710.403854
2022-05-02,2022-05-03,89.6273,90.6682271462886,85.3615,87.5231419263408,2006939707.7992277,29533968504.445385
2022-05-01,2022-05-02,85.36061197998282,92.22040606068494,84.81451639325282,89.6599,2599735819.469534,29537428157.37965
2022-04-30,2022-05-01,93.99221978972643,94.9398,83.1111,85.4947510721526,1683630757.3333333,30960224196.508682
2022-04-29,2022-04-30,98.2191,98.567,92.5769,93.94271075759409,1976798720,32103758132.74144
2022-04-28,2022-04-29,98.4269,100.443,96.6461,98.129,2054008071.160839,33001420545.31786
2022-04-27,2022-04-28,95.72,100.3286,95.3522,98.30965252285496,2334520667.5555553,32713354732.790203
2022-04-26,2022-04-27,101.004107835821,101.65603643363887,94.83889149698189,95.457704892462,2185852202.6666665,33100718444.202385
2022-04-25,2022-04-26,99.29508866221168,101.4254,94.8137,101.25650318962605,2101448147.84669,32631396613.816223
2022-04-24,2022-04-25,100.6282,102.2054,98.9119,99.22419914490683,1245760108.8888888,33628015745.265938
2022-04-23,2022-04-24,100.6622,102.737,98.769,100.6329,1768725753.3333333,33796754233.55262
2022-04-22,2022-04-23,101.8629,103.5485,99.69223276475851,100.7281,2768260876.979021,33929543966.922607
2022-04-21,2022-04-22,105.48589218999643,109.8874,100.52221697135764,101.8636,2653313504.888889,35438684280.12825
2022-04-20,2022-04-21,108.5695,110.48505127283232,104.5103146616912,105.47726590431348,2900991548.655052,35833365994.75726
2022-04-19,2022-04-20,102.3121,108.4219,101.23628822429592,108.4217,2787376963.7909408,34735479537.19902
2022-04-18,2022-04-19,100.3066,102.4515,95.27047624305943,102.2794,2674388788.888889,33033791451.58218
2022-04-17,2022-04-18,102.1203,105.2538,99.9088,100.3029,1360454577.3333333,34196829838.260334
2022-04-16,2022-04-17,101.4068,103.1474,100.9513,102.123,1429049665.7777777,33903596083.20743
2022-04-15,2022-04-16,100.7807851910176,102.8625,100.127085128959,101.3964,2267678373.3333335,33705393922.181904
2022-04-14,2022-04-15,104.7968,107.16828151426483,99.2616,100.64652139142292,2762096909.1282053,33965413416.9971
2022-04-13,2022-04-14,103.49588409415024,105.67629021125896,100.3558,104.8295,3362322636.979021,34010893337.145725
2022-04-12,2022-04-13,100.03248714844486,108.9337,98.976102758719,103.65836866366703,3822596852.1181436,33971213829.011272
2022-04-11,2022-04-12,111.0701,111.7512,98.9991,99.65766756435929,2834260283.672598,34734453378.299034
2022-04-10,2022-04-11,112.98939659140984,112.98939659140984,112.98939659140984,112.98939659140984,1873845248,37021471251.67949
2022-04-09,2022-04-10,109.9298,113.13090673885915,108.72613514381374,113.13090673885915,2951543042.2222223,36210898016.459755
2022-04-08,2022-04-09,118.71845721277498,122.0517776604832,108.6054,109.7555,3572972769.672474,38186601588.434975
2022-04-07,2022-04-08,113.05698619168872,119.8595,111.8099274147478,118.91484893230124,4636533997.333333,37819207023.47483
2022-04-06,2022-04-07,127.00570905085496,127.3559,112.93012376028202,112.93012376028202,4354816668.097561,39657349233.36205
2022-04-05,2022-04-06,132.20254560044975,136.2091324151326,126.658028293038,126.658028293038,3926432898.229965,43015284661.53554
2022-04-04,2022-04-05,136.8002314166226,137.96840621206292,126.54046989837312,132.51236433866617,3772952816,43437922773.23243
2022-04-03,2022-04-04,131.96458586844196,140.229,131.1907944969669,136.84674453651868,4892773316.444445,44517427978.7285
2022-04-02,2022-04-03,133.9639,142.0514517587241,132.0396119102894,132.0396119102894,5804349104,44391708100.42435
2022-04-01,2022-04-02,122.5331224743763,136.8913,118.74291674569582,133.82885348739686,6783690641.393728,41660423056.54975
2022-03-31,2022-04-01,120.29661658775456,128.593356388549,119.83126917131068,122.49756709121088,5910328532.292683,40161847816.25475
2022-03-30,2022-03-31,111.74000478369668,123.82191831572985,107.44863201075366,120.26812664488584,4879497393.777778,37448984012.091064
2022-03-29,2022-03-30,105.98293364047176,115.4559,105.98293364047176,111.80216260115512,4305544045.333333,36152048639.36853
2022-03-28,2022-03-29,106.96232451087036,113.431,105.319971154411,105.63181621490514,3440579599.111111,35583879436.54363
2022-03-27,2022-03-28,101.83008706417452,107.29060353654803,99.14564480083165,107.10647385293372,1781452762.6666667,33181406053.018085
2022-03-26,2022-03-27,98.63087747522792,103.2483,97.84280118769274,101.85037721798604,2466659556,32743516083.91858
2022-03-25,2022-03-26,102.33850320096008,104.6564,97.21849899472063,98.76050728557416,3827302912.888889,32832819442.182297
2022-03-24,2022-03-25,94.97890047252216,103.4874,94.07253642767829,102.26183971777306,3520549959.111111,31972355075.075394
2022-03-23,2022-03-24,90.50209658761588,96.06437580922292,89.63725942513194,95.10271747092176,2120785514.1463416,29565455874.108208
2022-03-22,2022-03-23,88.76828652467186,93.6675,88.18192702192376,90.6124678591174,2128751696,29287239164.761547
2022-03-21,2022-03-22,88.5311152017071,91.13557769219376,87.11693859352216,88.77027251383889,1694114116.8888888,28492018845.135376
